[2025-11-13 20:24:20] System - CPU: 1.74%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:21] System - CPU: 1.79%, Memory: 17.82%, Processes: 400
[2025-11-13 20:24:23] System - CPU: 2.13%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:24] System - CPU: 2.58%, Memory: 17.82%, Processes: 400
[2025-11-13 20:24:25] System - CPU: 3.87%, Memory: 17.80%, Processes: 400
[2025-11-13 20:24:26] System - CPU: 1.97%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:27] System - CPU: 4.16%, Memory: 17.87%, Processes: 400
[2025-11-13 20:24:28] System - CPU: 3.15%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:29] System - CPU: 3.15%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:30] System - CPU: 2.13%, Memory: 17.84%, Processes: 400
[2025-11-13 20:24:32] System - CPU: 1.85%, Memory: 17.81%, Processes: 400
[2025-11-13 20:24:33] System - CPU: 2.41%, Memory: 17.81%, Processes: 400
[2025-11-13 20:24:34] System - CPU: 1.97%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:35] System - CPU: 1.96%, Memory: 17.81%, Processes: 400
[2025-11-13 20:24:36] System - CPU: 3.11%, Memory: 17.88%, Processes: 400
[2025-11-13 20:24:37] System - CPU: 2.47%, Memory: 17.88%, Processes: 400
[2025-11-13 20:24:38] System - CPU: 2.58%, Memory: 17.79%, Processes: 400
[2025-11-13 20:24:39] System - CPU: 2.30%, Memory: 17.79%, Processes: 400
[2025-11-13 20:24:41] System - CPU: 1.96%, Memory: 17.79%, Processes: 400
[2025-11-13 20:24:42] System - CPU: 2.69%, Memory: 17.78%, Processes: 400
[2025-11-13 20:24:43] System - CPU: 3.78%, Memory: 17.75%, Processes: 400
[2025-11-13 20:24:44] System - CPU: 3.83%, Memory: 17.80%, Processes: 400
[2025-11-13 20:24:45] System - CPU: 2.69%, Memory: 17.82%, Processes: 400
[2025-11-13 20:24:46] System - CPU: 3.14%, Memory: 17.81%, Processes: 400
[2025-11-13 20:24:47] System - CPU: 2.75%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:48] System - CPU: 2.58%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:49] System - CPU: 2.47%, Memory: 17.82%, Processes: 400
[2025-11-13 20:24:51] System - CPU: 3.55%, Memory: 17.81%, Processes: 400
[2025-11-13 20:24:52] System - CPU: 3.38%, Memory: 17.81%, Processes: 400
[2025-11-13 20:24:53] System - CPU: 3.44%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:54] System - CPU: 3.56%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:55] System - CPU: 3.32%, Memory: 17.84%, Processes: 400
[2025-11-13 20:24:56] System - CPU: 3.21%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:57] System - CPU: 3.37%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:58] System - CPU: 2.69%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:00] System - CPU: 2.13%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:01] System - CPU: 3.95%, Memory: 17.85%, Processes: 400
[2025-11-13 20:25:02] System - CPU: 2.02%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:03] System - CPU: 1.63%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:04] System - CPU: 3.09%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:05] System - CPU: 6.70%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:06] System - CPU: 4.95%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:07] System - CPU: 8.82%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:08] System - CPU: 5.11%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:10] System - CPU: 1.85%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:11] System - CPU: 2.24%, Memory: 17.86%, Processes: 400
[2025-11-13 20:25:12] System - CPU: 2.30%, Memory: 17.86%, Processes: 400
